net,nodes,edges,closeness,transitivity,eigenvector,betweenness
41.txt,4,0-3 1-3 2-3 ,0.7000000000000001,0.0,0.6830127018922193,0.75
42.txt,4,0-2 0-3 1-3 ,0.625,0.0,0.8090169943749472,1.0
43.txt,4,0-2 0-3 1-3 2-3 ,0.775,0.6,0.7925216216565083,0.5
44.txt,4,0-2 0-3 1-2 1-3 ,0.75,0.0,0.9999999999999998,0.5
45.txt,4,0-2 0-3 1-2 1-3 2-3 ,0.875,0.75,0.8903882032022075,0.25
46.txt,4,0-1 0-2 0-3 1-2 1-3 2-3 ,1.0,1.0,1.0,0.0
51.txt,5,0-4 1-4 2-4 3-4 ,0.6571428571428571,0.0,0.5999999999999999,1.2
510.txt,5,0-2 0-4 1-3 1-4 2-4 ,0.6107936507936508,0.5,0.6941038003146905,1.4
511.txt,5,0-2 0-4 1-3 1-4 2-4 3-4 ,0.7333333333333333,0.6,0.712310562561766,0.8
512.txt,5,0-2 0-3 1-3 1-4 2-4 ,0.6666666666666666,0.0,0.9999999999999999,1.0
513.txt,5,0-2 0-3 0-4 1-3 1-4 2-4 ,0.7200000000000001,0.3333333333333333,0.8312650349317323,0.8
514.txt,5,0-2 0-3 0-4 1-3 1-4 2-4 3-4 ,0.7866666666666667,0.6428571428571429,0.7870864663940058,0.6
515.txt,5,0-2 0-3 0-4 1-4 2-3 2-4 ,0.6942857142857143,0.6,0.7951732004052675,1.0
516.txt,5,0-2 0-3 0-4 1-4 2-3 2-4 3-4 ,0.7942857142857144,0.8,0.8172260395302987,0.6
517.txt,5,0-2 0-3 0-4 1-3 1-4 2-3 2-4 3-4 ,0.8533333333333334,0.7894736842105263,0.8646808552172953,0.4
518.txt,5,0-2 0-3 0-4 1-2 1-3 1-4 2-4 ,0.7733333333333333,0.46153846153846156,0.9011209116293986,0.6
519.txt,5,0-2 0-3 0-4 1-2 1-3 1-4 2-4 3-4 ,0.8400000000000001,0.6666666666666666,0.8472135954999581,0.39999999999999997
52.txt,5,0-3 0-4 1-4 2-4 ,0.5822222222222223,0.0,0.6523945254791336,1.6
520.txt,5,0-2 0-3 0-4 1-2 1-3 1-4 2-3 2-4 3-4 ,0.9199999999999999,0.875,0.929150262212918,0.2
521.txt,5,0-1 0-2 0-3 0-4 1-2 1-3 1-4 2-3 2-4 3-4 ,1.0,1.0,0.9999999999999999,0.0
53.txt,5,0-3 0-4 1-4 2-4 3-4 ,0.6952380952380952,0.375,0.6685846165554342,1.0
54.txt,5,0-3 0-4 1-3 1-4 2-4 ,0.6409523809523809,0.0,0.7833111222948539,1.2
55.txt,5,0-3 0-4 1-3 2-4 3-4 ,0.6533333333333334,0.42857142857142855,0.7474068367285318,1.2
56.txt,5,0-3 0-4 1-3 1-4 2-4 3-4 ,0.740952380952381,0.5454545454545454,0.7371087865341583,0.8
57.txt,5,0-3 0-4 1-3 1-4 2-3 2-4 ,0.7200000000000001,0.0,0.8898979485566355,0.8
58.txt,5,0-3 0-4 1-3 1-4 2-3 2-4 3-4 ,0.7999999999999999,0.6,0.7999999999999998,0.6
59.txt,5,0-2 0-4 1-3 1-4 ,0.5219047619047619,0.0,0.7464101615137753,2.0
61.txt,6,0-5 1-5 2-5 3-5 4-5 ,0.6296296296296297,0.0,0.5393446629166316,1.6666666666666667
610.txt,6,0-4 0-5 1-4 1-5 2-4 2-5 3-5 ,0.6388888888888888,0.0,0.7341232505568985,1.4999999999999998
6100.txt,6,0-2 0-3 0-4 0-5 1-4 1-5 2-3 2-4 2-5 3-5 4-5 ,0.8065476190476191,0.75,0.8098252392066236,0.6666666666666666
6101.txt,6,0-2 0-3 0-4 0-5 1-5 2-3 2-4 2-5 3-4 3-5 ,0.7430555555555556,0.7777777777777778,0.8213425364407726,1.0
6102.txt,6,0-2 0-3 0-4 0-5 1-5 2-3 2-4 2-5 3-4 3-5 4-5 ,0.8148148148148149,0.8823529411764706,0.8418957069551727,0.6666666666666667
6103.txt,6,0-2 0-3 0-4 0-5 1-4 1-5 2-3 2-4 2-5 3-4 3-5 4-5 ,0.8541666666666667,0.8461538461538461,0.8669120563698735,0.5
6104.txt,6,0-2 0-3 0-4 0-5 1-3 1-4 1-5 2-3 2-4 2-5 3-4 3-5 4-5 ,0.8968253968253969,0.8666666666666667,0.904646478728457,0.3333333333333333
6105.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-4 2-5 3-5 ,0.7936507936507936,0.6,0.9169053168197411,0.6666666666666666
6106.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-4 2-5 4-5 ,0.798611111111111,0.6774193548387096,0.8827569023509295,0.6666666666666666
6107.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 2-4 2-5 3-5 4-5 ,0.7936507936507937,0.6,0.9106836025229587,0.6666666666666666
6108.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-4 2-5 3-5 4-5 ,0.8412698412698413,0.7297297297297297,0.8446310785841658,0.5
6109.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-4 2-5 3-4 3-5 ,0.8333333333333334,0.6666666666666666,0.9999999999999998,0.5
611.txt,6,0-4 0-5 1-4 1-5 2-4 3-5 4-5 ,0.6527777777777778,0.42857142857142855,0.6915909028289174,1.5
6110.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-4 2-5 3-4 3-5 4-5 ,0.888888888888889,0.8181818181818182,0.8953802205448353,0.3333333333333333
6111.txt,6,0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-3 2-4 2-5 3-4 3-5 4-5 ,0.9444444444444444,0.9230769230769231,0.950260353119404,0.16666666666666669
6112.txt,6,0-1 0-2 0-3 0-4 0-5 1-2 1-3 1-4 1-5 2-3 2-4 2-5 3-4 3-5 4-5 ,1.0,1.0,0.9999999999999998,0.0
612.txt,6,0-4 0-5 1-4 1-5 2-4 2-5 3-5 4-5 ,0.7106481481481481,0.47368421052631576,0.6836681650765661,1.1666666666666665
613.txt,6,0-4 0-5 1-4 1-5 2-4 2-5 3-4 3-5 ,0.6944444444444444,0.0,0.8047378541243649,1.1666666666666667
614.txt,6,0-4 0-5 1-4 1-5 2-4 2-5 3-4 3-5 4-5 ,0.75,0.5,0.7287135538781688,1.0
615.txt,6,0-3 0-5 1-4 1-5 2-5 ,0.5081955081955082,0.0,0.610650410024502,2.666666666666667
616.txt,6,0-3 0-5 1-4 1-5 2-5 3-5 ,0.5810185185185186,0.3333333333333333,0.5990491061929208,2.0
617.txt,6,0-3 0-5 1-4 1-5 2-5 3-5 4-5 ,0.6759259259259259,0.42857142857142855,0.6182125599061539,1.3333333333333335
618.txt,6,0-3 0-4 0-5 1-4 1-5 2-5 ,0.5747955747955747,0.0,0.7489932012391556,2.0
619.txt,6,0-3 0-4 1-4 1-5 2-5 3-5 ,0.5883237133237134,0.0,0.7646235750786687,1.8333333333333335
62.txt,6,0-4 0-5 1-5 2-5 3-5 ,0.5625,0.0,0.5628481551306563,2.166666666666667
620.txt,6,0-3 0-4 0-5 1-4 2-5 4-5 ,0.5844155844155844,0.3333333333333333,0.7071067811865475,2.0
621.txt,6,0-3 0-4 0-5 1-4 1-5 2-5 3-5 ,0.6421957671957672,0.25,0.6953529835636798,1.5
622.txt,6,0-3 0-4 0-5 1-4 1-5 2-5 4-5 ,0.6286676286676287,0.46153846153846156,0.673805697540643,1.6666666666666667
623.txt,6,0-3 0-4 0-5 1-4 1-5 2-5 3-5 4-5 ,0.7056878306878307,0.5,0.6739563209143449,1.1666666666666665
624.txt,6,0-3 0-5 1-4 1-5 2-4 ,0.44781144781144777,0.0,0.7489932012391551,3.3333333333333335
625.txt,6,0-3 0-5 1-4 1-5 2-4 2-5 ,0.5366855366855368,0.0,0.6958879578601791,2.3333333333333335
626.txt,6,0-3 0-5 1-4 1-5 2-4 3-5 ,0.5027056277056278,0.42857142857142855,0.6194795885323072,2.666666666666667
627.txt,6,0-3 0-5 1-4 1-5 2-4 4-5 ,0.5419464794464794,0.375,0.6622015611196668,2.333333333333333
628.txt,6,0-3 0-5 1-4 2-4 3-5 4-5 ,0.5562770562770563,0.375,0.650857211760278,2.166666666666667
629.txt,6,0-3 0-5 1-4 1-5 2-4 2-5 3-5 ,0.6157407407407408,0.2727272727272727,0.6620265241629305,1.6666666666666665
63.txt,6,0-4 0-5 1-5 2-5 3-5 4-5 ,0.6527777777777777,0.25,0.5856894882225485,1.5
630.txt,6,0-3 0-5 1-4 1-5 2-4 2-5 4-5 ,0.6018518518518519,0.5,0.6439682633164101,1.8333333333333335
631.txt,6,0-3 0-5 1-4 1-5 2-4 3-5 4-5 ,0.6230459355459356,0.5,0.6516345935013045,1.6666666666666667
632.txt,6,0-3 0-5 1-4 1-5 2-4 2-5 3-5 4-5 ,0.7023809523809523,0.5294117647058824,0.6579021070800757,1.1666666666666665
633.txt,6,0-3 0-4 0-5 1-5 2-5 3-4 3-5 ,0.626984126984127,0.46153846153846156,0.7440169358562921,1.6666666666666667
634.txt,6,0-3 0-4 0-5 1-5 2-5 3-4 3-5 4-5 ,0.7089947089947091,0.631578947368421,0.6962349468165472,1.1666666666666665
635.txt,6,0-3 0-4 1-4 1-5 2-4 2-5 3-5 ,0.6547619047619048,0.0,0.8516820118371359,1.3333333333333333
636.txt,6,0-3 0-4 0-5 1-4 1-5 2-4 2-5 3-5 ,0.689484126984127,0.2,0.7595790547409779,1.1666666666666665
637.txt,6,0-3 0-4 0-5 1-4 1-5 2-4 2-5 4-5 ,0.6577681577681578,0.5294117647058824,0.7148467641943577,1.5
638.txt,6,0-3 0-4 0-5 1-4 1-5 2-4 3-5 4-5 ,0.6769179894179894,0.5294117647058824,0.7201568880184219,1.3333333333333335
639.txt,6,0-3 0-4 1-4 1-5 2-4 2-5 3-5 4-5 ,0.6944444444444444,0.375,0.7381065811258447,1.1666666666666665
64.txt,6,0-4 0-5 1-4 2-5 3-5 ,0.49007936507936506,0.0,0.6408444529288515,2.833333333333333
640.txt,6,0-3 0-4 0-5 1-4 1-5 2-4 2-5 3-5 4-5 ,0.7371031746031746,0.5454545454545454,0.7135657065986916,1.0
641.txt,6,0-3 0-4 0-5 1-4 1-5 2-5 3-4 3-5 ,0.6686507936507936,0.375,0.8027326650216919,1.3333333333333335
642.txt,6,0-3 0-4 0-5 1-4 2-5 3-4 3-5 4-5 ,0.6825396825396826,0.6666666666666666,0.7467131332218226,1.3333333333333335
