net,node,closeness,eccentricity,degree,betweenness
41.txt,0,[0.6],[2.0],[1],[0.0]
41.txt,1,[1.0],[1.0],[3],[3.0]
41.txt,1,[1.0],[1.0],[3],[3.0]
41.txt,2,[0.6],[2.0],[1],[0.0]
41.txt,1,[1.0],[1.0],[3],[3.0]
41.txt,3,[0.6],[2.0],[1],[0.0]
42.txt,0,[0.75],[2.0],[2],[2.0]
42.txt,1,[0.5],[3.0],[1],[0.0]
42.txt,0,[0.75],[2.0],[2],[2.0]
42.txt,2,[0.75],[2.0],[2],[2.0]
42.txt,2,[0.75],[2.0],[2],[2.0]
42.txt,3,[0.5],[3.0],[1],[0.0]
43.txt,0,[0.75],[2.0],[2],[0.0]
43.txt,1,[0.75],[2.0],[2],[0.0]
43.txt,0,[0.75],[2.0],[2],[0.0]
43.txt,2,[1.0],[1.0],[3],[2.0]
43.txt,2,[1.0],[1.0],[3],[2.0]
43.txt,3,[0.6],[2.0],[1],[0.0]
43.txt,1,[0.75],[2.0],[2],[0.0]
43.txt,2,[1.0],[1.0],[3],[2.0]
44.txt,0,[0.75],[2.0],[2],[0.5]
44.txt,1,[0.75],[2.0],[2],[0.5]
44.txt,0,[0.75],[2.0],[2],[0.5]
44.txt,2,[0.75],[2.0],[2],[0.5]
44.txt,1,[0.75],[2.0],[2],[0.5]
44.txt,3,[0.75],[2.0],[2],[0.5]
44.txt,2,[0.75],[2.0],[2],[0.5]
44.txt,3,[0.75],[2.0],[2],[0.5]
45.txt,0,[0.75],[2.0],[2],[0.0]
45.txt,1,[1.0],[1.0],[3],[0.5]
45.txt,0,[0.75],[2.0],[2],[0.0]
45.txt,2,[1.0],[1.0],[3],[0.5]
45.txt,1,[1.0],[1.0],[3],[0.5]
45.txt,3,[0.75],[2.0],[2],[0.0]
45.txt,2,[1.0],[1.0],[3],[0.5]
45.txt,3,[0.75],[2.0],[2],[0.0]
45.txt,1,[1.0],[1.0],[3],[0.5]
45.txt,2,[1.0],[1.0],[3],[0.5]
46.txt,0,[1.0],[1.0],[3],[0.0]
46.txt,1,[1.0],[1.0],[3],[0.0]
46.txt,0,[1.0],[1.0],[3],[0.0]
46.txt,2,[1.0],[1.0],[3],[0.0]
46.txt,0,[1.0],[1.0],[3],[0.0]
46.txt,3,[1.0],[1.0],[3],[0.0]
46.txt,1,[1.0],[1.0],[3],[0.0]
46.txt,2,[1.0],[1.0],[3],[0.0]
46.txt,1,[1.0],[1.0],[3],[0.0]
46.txt,3,[1.0],[1.0],[3],[0.0]
46.txt,2,[1.0],[1.0],[3],[0.0]
46.txt,3,[1.0],[1.0],[3],[0.0]
51.txt,0,[0.5714285714285714],[2.0],[1],[0.0]
51.txt,1,[1.0],[1.0],[4],[6.0]
51.txt,1,[1.0],[1.0],[4],[6.0]
51.txt,2,[0.5714285714285714],[2.0],[1],[0.0]
51.txt,1,[1.0],[1.0],[4],[6.0]
51.txt,3,[0.5714285714285714],[2.0],[1],[0.0]
51.txt,1,[1.0],[1.0],[4],[6.0]
51.txt,4,[0.5714285714285714],[2.0],[1],[0.0]
510.txt,0,[0.5714285714285714],[3.0],[2],[0.0]
510.txt,1,[0.5714285714285714],[3.0],[2],[0.0]
510.txt,0,[0.5714285714285714],[3.0],[2],[0.0]
510.txt,2,[0.8],[2.0],[3],[4.0]
510.txt,3,[0.6666666666666666],[2.0],[2],[3.0]
510.txt,4,[0.4444444444444444],[3.0],[1],[0.0]
510.txt,2,[0.8],[2.0],[3],[4.0]
510.txt,3,[0.6666666666666666],[2.0],[2],[3.0]
510.txt,1,[0.5714285714285714],[3.0],[2],[0.0]
510.txt,2,[0.8],[2.0],[3],[4.0]
511.txt,0,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,1,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,0,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,2,[1.0],[1.0],[4],[4.0]
511.txt,3,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,4,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,2,[1.0],[1.0],[4],[4.0]
511.txt,3,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,1,[0.6666666666666666],[2.0],[2],[0.0]
511.txt,2,[1.0],[1.0],[4],[4.0]
511.txt,2,[1.0],[1.0],[4],[4.0]
511.txt,4,[0.6666666666666666],[2.0],[2],[0.0]
512.txt,0,[0.6666666666666666],[2.0],[2],[1.0]
512.txt,1,[0.6666666666666666],[2.0],[2],[1.0]
512.txt,0,[0.6666666666666666],[2.0],[2],[1.0]
512.txt,2,[0.6666666666666666],[2.0],[2],[1.0]
512.txt,2,[0.6666666666666666],[2.0],[2],[1.0]
