pp,seed,coverage,net
0.1,"['0', '1', '2', '3', '4']",5.40540540540541,612.txt
0.1,"['0', '1', '2', '3', '5']",5.35035035035035,612.txt
0.1,"['0', '1', '2', '4', '5']",5.108108108108112,612.txt
0.1,"['0', '1', '3', '4', '5']",5.187187187187192,612.txt
0.1,"['0', '2', '3', '4', '5']",5.2092092092092095,612.txt
0.1,"['1', '2', '3', '4', '5']",5.1641641641641645,612.txt
0.1,"['0', '1', '2']",3.5255255255255267,612.txt
0.1,"['0', '1', '3']",3.4834834834834827,612.txt
0.1,"['0', '2', '3']",3.4654654654654644,612.txt
0.1,"['1', '2', '3']",3.4314314314314305,612.txt
0.1,"['0', '1']",2.3723723723723724,612.txt
0.1,"['0', '2']",2.3733733733733726,612.txt
0.1,"['0', '3']",2.2912912912912895,612.txt
0.1,"['1', '2']",2.34934934934935,612.txt
0.1,"['1', '3']",2.3003003003002975,612.txt
0.1,"['2', '3']",2.268268268268269,612.txt
0.1,"['0', '1']",2.403403403403404,612.txt
0.1,"['0', '2']",2.38138138138138,612.txt
0.1,"['0', '3']",2.2802802802802784,612.txt
0.1,"['0', '4']",2.4284284284284285,612.txt
0.1,"['1', '2']",2.3783783783783803,612.txt
0.1,"['1', '3']",2.3113113113113117,612.txt
0.1,"['1', '4']",2.374374374374371,612.txt
0.1,"['2', '3']",2.287287287287286,612.txt
0.1,"['2', '4']",2.3263263263263214,612.txt
0.1,"['3', '4']",2.495495495495495,612.txt
0.1,"['0', '1', '2', '3']",4.637637637637646,612.txt
0.1,"['0', '1', '2', '4']",4.338338338338331,612.txt
0.1,"['0', '1', '2', '5']",4.411411411411413,612.txt
0.1,"['0', '1', '3', '4']",4.44944944944945,612.txt
0.1,"['0', '1', '3', '5']",4.371371371371363,612.txt
0.1,"['0', '1', '4', '5']",4.274274274274277,612.txt
0.1,"['0', '2', '3', '4']",4.469469469469475,612.txt
0.1,"['0', '2', '3', '5']",4.38838838838839,612.txt
0.1,"['0', '2', '4', '5']",4.303303303303308,612.txt
0.1,"['0', '3', '4', '5']",4.371371371371371,612.txt
0.1,"['1', '2', '3', '4']",4.459459459459462,612.txt
0.1,"['1', '2', '3', '5']",4.373373373373375,612.txt
0.1,"['1', '2', '4', '5']",4.261261261261268,612.txt
0.1,"['1', '3', '4', '5']",4.352352352352351,612.txt
0.1,"['2', '3', '4', '5']",4.358358358358367,612.txt
0.1,['0'],1.2022022022022016,612.txt
0.1,['1'],1.2152152152152158,612.txt
0.1,['2'],1.2062062062062051,612.txt
0.1,['3'],1.107107107107107,612.txt
0.1,['0'],1.1961961961961953,612.txt
0.1,['1'],1.188188188188189,612.txt
0.1,['2'],1.1801801801801795,612.txt
0.1,['3'],1.1011011011011012,612.txt
0.1,['4'],1.4084084084084096,612.txt
0.1,"['0', '1', '2']",3.510510510510509,612.txt
0.1,"['0', '1', '3']",3.4704704704704743,612.txt
0.1,"['0', '1', '4']",3.3603603603603567,612.txt
0.1,"['0', '2', '3']",3.444444444444442,612.txt
0.1,"['0', '2', '4']",3.3603603603603616,612.txt
0.1,"['0', '3', '4']",3.494494494494492,612.txt
0.1,"['1', '2', '3']",3.4664664664664664,612.txt
0.1,"['1', '2', '4']",3.3863863863863832,612.txt
0.1,"['1', '3', '4']",3.4814814814814827,612.txt
0.1,"['2', '3', '4']",3.4624624624624607,612.txt
0.1,"['0', '1', '2', '3']",4.611611611611612,612.txt
0.1,"['0', '1', '2', '4']",4.330330330330334,612.txt
0.1,"['0', '1', '3', '4']",4.486486486486491,612.txt
0.1,"['0', '2', '3', '4']",4.474474474474479,612.txt
0.1,"['1', '2', '3', '4']",4.4094094094094105,612.txt
0.1,"['0', '1']",2.3823823823823838,612.txt
0.1,"['0', '2']",2.3863863863863877,612.txt
0.1,"['0', '3']",2.2912912912912917,612.txt
0.1,"['0', '4']",2.3993993993994005,612.txt
0.1,"['0', '5']",2.4954954954954944,612.txt
0.1,"['1', '2']",2.3463463463463468,612.txt
0.1,"['1', '3']",2.300300300300302,612.txt
0.1,"['1', '4']",2.4034034034034035,612.txt
0.1,"['1', '5']",2.4874874874874826,612.txt
0.1,"['2', '3']",2.273273273273274,612.txt
0.1,"['2', '4']",2.382382382382379,612.txt
0.1,"['2', '5']",2.498498498498497,612.txt
0.1,"['3', '4']",2.496496496496499,612.txt
0.1,"['3', '5']",2.4094094094094096,612.txt
0.1,"['4', '5']",2.7017017017017024,612.txt
0.1,['0'],1.2132132132132112,612.txt
0.1,['1'],1.216216216216216,612.txt
0.1,['2'],1.2102102102102101,612.txt
0.1,['3'],1.1001001001001027,612.txt
0.1,['4'],1.3893893893893896,612.txt
0.1,['5'],1.4744744744744758,612.txt
0.1,"['0', '1', '2']",3.5525525525525565,612.txt
0.1,"['0', '1', '3']",3.4414414414414427,612.txt
0.1,"['0', '1', '4']",3.3753753753753775,612.txt
0.1,"['0', '1', '5']",3.486486486486487,612.txt
0.1,"['0', '2', '3']",3.4774774774774824,612.txt
0.1,"['0', '2', '4']",3.3603603603603607,612.txt
0.1,"['0', '2', '5']",3.4604604604604594,612.txt
0.1,"['0', '3', '4']",3.474474474474475,612.txt
0.1,"['0', '3', '5']",3.391391391391383,612.txt
0.1,"['0', '4', '5']",3.467467467467465,612.txt
0.1,"['1', '2', '3']",3.4744744744744707,612.txt
0.1,"['1', '2', '4']",3.4074074074074057,612.txt
0.1,"['1', '2', '5']",3.4744744744744716,612.txt
0.1,"['1', '3', '4']",3.512512512512513,612.txt
0.1,"['1', '3', '5']",3.3763763763763794,612.txt
0.1,"['1', '4', '5']",3.475475475475477,612.txt
0.1,"['2', '3', '4']",3.465465465465469,612.txt
0.1,"['2', '3', '5']",3.375375375375375,612.txt
0.1,"['2', '4', '5']",3.4624624624624634,612.txt
0.1,"['3', '4', '5']",3.558558558558559,612.txt
0.1,"['0', '1', '2', '3', '4']",5.3503503503503556,667.txt
0.1,"['0', '1', '2', '3', '5']",5.283283283283288,667.txt
0.1,"['0', '1', '2', '4', '5']",5.338338338338334,667.txt
0.1,"['0', '1', '3', '4', '5']",5.17717717717718,667.txt
0.1,"['0', '2', '3', '4', '5']",5.175175175175172,667.txt
0.1,"['1', '2', '3', '4', '5']",5.272272272272267,667.txt
0.1,"['0', '1', '2']",3.6486486486486522,667.txt
0.1,"['0', '1', '3']",3.45445445445446,667.txt
0.1,"['0', '2', '3']",3.6926926926926913,667.txt
0.1,"['1', '2', '3']",3.54554554554555,667.txt
0.1,"['0', '1']",2.47447447447447,667.txt
0.1,"['0', '2']",2.489489489489492,667.txt
0.1,"['0', '3']",2.48848848848849,667.txt
0.1,"['1', '2']",2.398398398398396,667.txt
0.1,"['1', '3']",2.3953953953953944,667.txt
0.1,"['2', '3']",2.5735735735735688,667.txt
0.1,"['0', '1']",2.4814814814814756,667.txt
0.1,"['0', '2']",2.439439439439441,667.txt
0.1,"['0', '3']",2.4974974974975006,667.txt
0.1,"['0', '4']",2.381381381381387,667.txt
0.1,"['1', '2']",2.3803803803803762,667.txt
0.1,"['1', '3']",2.4284284284284263,667.txt
0.1,"['1', '4']",2.491491491491488,667.txt
0.1,"['2', '3']",2.567567567567565,667.txt
0.1,"['2', '4']",2.273273273273274,667.txt
0.1,"['3', '4']",2.4974974974974993,667.txt
0.1,"['0', '1', '2', '3']",4.625625625625625,667.txt
0.1,"['0', '1', '2', '4']",4.535535535535538,667.txt
0.1,"['0', '1', '2', '5']",4.460460460460462,667.txt
0.1,"['0', '1', '3', '4']",4.3923923923923915,667.txt
0.1,"['0', '1', '3', '5']",4.30730730730731,667.txt
0.1,"['0', '1', '4', '5']",4.558558558558558,667.txt
0.1,"['0', '2', '3', '4']",4.358358358358361,667.txt
0.1,"['0', '2', '3', '5']",4.4364364364364315,667.txt
0.1,"['0', '2', '4', '5']",4.355355355355355,667.txt
0.1,"['0', '3', '4', '5']",4.375375375375378,667.txt
0.1,"['1', '2', '3', '4']",4.475475475475473,667.txt
0.1,"['1', '2', '3', '5']",4.375375375375379,667.txt
0.1,"['1', '2', '4', '5']",4.471471471471476,667.txt
0.1,"['1', '3', '4', '5']",4.460460460460467,667.txt
0.1,"['2', '3', '4', '5']",4.454454454454456,667.txt
0.1,['0'],1.3213213213213229,667.txt
0.1,['1'],1.2072072072072093,667.txt
0.1,['2'],1.175175175175178,667.txt
0.1,['3'],1.4054054054054044,667.txt
0.1,['0'],1.2762762762762745,667.txt
0.1,['1'],1.2082082082082077,667.txt
0.1,['2'],1.1831831831831816,667.txt
0.1,['3'],1.3733733733733733,667.txt
0.1,['4'],1.3193193193193207,667.txt
0.1,"['0', '1', '2']",3.6726726726726753,667.txt
0.1,"['0', '1', '3']",3.453453453453456,667.txt
0.1,"['0', '1', '4']",3.570570570570573,667.txt
0.1,"['0', '2', '3']",3.670670670670672,667.txt
0.1,"['0', '2', '4']",3.388388388388387,667.txt
0.1,"['0', '3', '4']",3.409409409409409,667.txt
0.1,"['1', '2', '3']",3.5765765765765796,667.txt
0.1,"['1', '2', '4']",3.4804804804804808,667.txt
0.1,"['1', '3', '4']",3.5065065065065086,667.txt
0.1,"['2', '3', '4']",3.464464464464466,667.txt
0.1,"['0', '1', '2', '3']",4.6386386386386365,667.txt
0.1,"['0', '1', '2', '4']",4.545545545545551,667.txt
0.1,"['0', '1', '3', '4']",4.372372372372372,667.txt
0.1,"['0', '2', '3', '4']",4.355355355355357,667.txt
0.1,"['1', '2', '3', '4']",4.482482482482481,667.txt
0.1,"['0', '1']",2.452452452452452,667.txt
0.1,"['0', '2']",2.48548548548549,667.txt
0.1,"['0', '3']",2.49149149149149,667.txt
0.1,"['0', '4']",2.393393393393391,667.txt
0.1,"['0', '5']",2.5095095095095097,667.txt
0.1,"['1', '2']",2.3873873873873896,667.txt
0.1,"['1', '3']",2.3743743743743715,667.txt
0.1,"['1', '4']",2.5125125125125125,667.txt
0.1,"['1', '5']",2.406406406406405,667.txt
0.1,"['2', '3']",2.5555555555555562,667.txt
0.1,"['2', '4']",2.299299299299299,667.txt
0.1,"['2', '5']",2.4114114114114096,667.txt
0.1,"['3', '4']",2.5125125125125085,667.txt
0.1,"['3', '5']",2.5825825825825808,667.txt
0.1,"['4', '5']",2.7167167167167148,667.txt
0.1,['0'],1.2892892892892887,667.txt
0.1,['1'],1.2162162162162171,667.txt
0.1,['2'],1.1931931931931965,667.txt
0.1,['3'],1.4254254254254275,667.txt
0.1,['4'],1.306306306306307,667.txt
0.1,['5'],1.374374374374375,667.txt
0.1,"['0', '1', '2']",3.6176176176176162,667.txt
0.1,"['0', '1', '3']",3.451451451451451,667.txt
0.1,"['0', '1', '4']",3.5525525525525503,667.txt
0.1,"['0', '1', '5']",3.471471471471472,667.txt
0.1,"['0', '2', '3']",3.64964964964965,667.txt
0.1,"['0', '2', '4']",3.390390390390386,667.txt
0.1,"['0', '2', '5']",3.4814814814814805,667.txt
0.1,"['0', '3', '4']",3.3913913913913873,667.txt
0.1,"['0', '3', '5']",3.461461461461462,667.txt
0.1,"['0', '4', '5']",3.579579579579584,667.txt
0.1,"['1', '2', '3']",3.531531531531529,667.txt
0.1,"['1', '2', '4']",3.4964964964964964,667.txt
0.1,"['1', '2', '5']",3.396396396396394,667.txt
0.1,"['1', '3', '4']",3.4894894894894875,667.txt
