content_drop_id,element,element_id,data zakonczenia
10,e2,129,2010-12-02 20:58
10,e1,198,2010-12-03 20:47
10,e2,130,2010-12-03 20:47
25,e3,94,2012-02-17 21:02
25,e2,152,2012-02-17 21:11
25,e3,95,2012-02-17 21:11
5,e1,171,2010-10-14 17:04
10,e3,78,2010-12-02 20:58
5,e3,66,2010-10-13 21:53
25,e1,231,2012-02-17 18:07
10,e4,200,2010-12-02 20:45
25,e1,228,2012-02-17 17:43
18,e3,67,2011-11-23 22:15
17,e4,207,2011-11-01 19:17
5,e2,111,2010-10-14 22:05
25,e1,230,2012-02-18 17:54
5,e4,186,2010-10-14 21:53
20,e1,225,2011-12-18 14:12
3,e2,99,2010-08-03 15:28
10,e1,197,2010-12-04 20:58
5,e3,65,2010-10-15 17:06
8,e4,194,2010-11-15 16:00
5,e2,112,2010-10-15 22:16
5,e2,110,2010-10-15 21:53
5,e4,185,2010-10-16 17:04
5,e2,113,2010-10-14 21:55
5,e1,169,2010-10-15 21:53
18,e2,135,2011-11-13 21:08
3,e2,100,2010-08-04 15:43
18,e4,209,2011-11-13 21:23
5,e1,170,2010-10-15 22:05
5,e3,61,2010-10-16 16:53
27,e4,221,2012-04-10 14:02
18,e3,91,2012-02-17 21:47
20,e4,215,2011-12-14 14:01
5,e2,108,2010-10-14 22:25
18,e3,90,2012-02-17 21:41
5,e4,184,2010-10-17 17:10
5,e3,64,2010-10-16 22:05
25,e1,234,2012-02-20 17:58
5,e4,187,2010-10-15 22:13
18,e4,210,2011-11-14 23:57
29,e3,97,2012-06-02 19:25
25,e1,235,2012-02-21 17:48
5,e2,109,2010-10-16 22:13
5,e3,63,2010-10-16 21:55
5,e1,168,2010-10-16 22:13
5,e1,172,2010-10-16 21:55
5,e4,189,2010-10-16 21:55
5,e3,62,2010-10-16 22:13
3,e2,97,2010-08-05 23:31
3,e2,105,2010-08-15 13:00
18,e2,136,2011-11-16 21:15
20,e2,143,2011-12-17 09:12
18,e3,89,2011-12-14 21:31
8,e1,191,2010-11-19 16:24
30,e1,241,2012-06-21 15:44
20,e1,218,2011-12-16 19:17
11,e1,199,2010-12-30 01:46
8,e3,75,2010-11-20 16:08
11,e1,204,2010-12-30 01:43
8,e1,185,2010-11-20 16:11
25,e1,236,2012-02-24 21:49
18,e3,86,2011-12-17 21:11
8,e1,189,2010-11-21 16:11
27,e4,224,2012-04-14 13:08
8,e1,188,2010-11-21 16:10
20,e2,142,2011-12-18 13:58
8,e4,197,2010-11-21 16:10
18,e4,211,2011-12-18 21:31
27,e4,222,2012-04-15 13:08
8,e4,198,2010-11-22 16:10
11,e1,205,2011-01-01 07:34
25,e1,237,2012-02-26 17:39
20,e1,216,2011-12-20 14:04
5,e4,191,2010-11-09 18:53
25,e2,150,2012-02-27 20:21
8,e4,195,2010-11-24 16:26
8,e3,77,2010-11-24 16:00
25,e2,148,2012-02-27 19:50
25,e1,232,2012-02-28 17:42
25,e2,151,2012-02-28 21:02
25,e3,92,2012-02-28 19:41
5,e4,190,2010-11-12 23:34
7,e1,174,2010-11-13 21:55
17,e1,206,2011-11-14 08:56
8,e1,187,2010-12-30 16:11
20,e4,217,2012-01-08 09:47
8,e3,73,2010-11-28 16:10
18,e1,215,2011-12-24 21:47
18,e2,141,2011-12-24 21:14
15,e1,214,2011-12-02 19:36
8,e2,125,2010-11-29 16:09
7,e4,193,2010-11-15 09:08
11,e1,200,2011-01-08 07:39
21,e4,218,2012-01-08 07:58
20,e4,212,2011-12-27 15:50
25,e3,93,2012-03-04 20:21
11,e1,202,2011-01-09 08:27
20,e1,224,2011-12-28 14:11
20,e1,222,2011-12-28 14:07
18,e3,87,2011-12-27 21:25
8,e2,124,2010-12-01 14:37
18,e4,208,2011-11-29 21:25
23,e1,226,2012-02-18 14:50
40,e2,140,2011-11-30 21:11
40,e2,139,2011-11-30 21:06
7,e1,176,2010-11-19 22:00
8,e1,190,2010-12-04 16:31
10,e2,128,2010-12-24 09:38
18,e1,213,2011-12-01 14:30
7,e1,175,2010-11-21 21:57
21,e4,216,2012-01-15 07:54
25,e1,227,2012-03-10 18:01
8,e3,72,2010-12-06 20:23
3,e2,98,2010-08-26 12:51
3,e2,103,2010-08-31 23:01
20,e1,217,2012-01-07 14:10
10,e2,127,2010-12-31 17:39
7,e1,177,2010-11-28 21:58
8,e3,71,2010-12-11 20:05
8,e1,192,2010-12-12 16:16
8,e3,70,2010-12-12 20:03
2,e4,183,2010-05-02 23:45
15,e3,82,2011-11-29 19:28
3,e2,104,2010-09-05 21:19
7,e2,115,2010-12-01 21:27
3,e2,107,2010-09-05 23:47
18,e1,211,2011-12-14 21:07
18,e3,88,2012-01-11 14:30
20,e1,223,2012-01-13 14:03
8,e3,76,2010-12-20 16:17
17,e2,144,2012-01-16 15:30
20,e4,213,2012-01-20 13:59
1,e4,181,2010-02-10 10:41
7,e4,192,2010-12-12 01:02
18,e2,146,2012-02-19 14:38
7,e1,178,2010-12-13 21:31
25,e2,147,2012-03-31 19:23
8,e1,182,2010-12-27 20:14
8,e2,122,2010-12-29 16:00
20,e1,221,2012-01-26 13:59
10,e2,126,2011-01-18 22:42
8,e1,184,2011-01-03 16:08
20,e1,220,2012-02-04 14:05
8,e2,119,2011-01-08 20:05
7,e2,114,2010-12-27 21:51
25,e1,229,2012-04-15 17:49
11,e1,201,2011-02-21 03:08
20,e1,219,2012-02-10 14:55
18,e1,210,2012-01-12 21:18
7,e1,180,2011-01-02 21:27
8,e1,194,2011-01-16 16:19
18,e3,83,2012-01-14 21:08
8,e1,186,2011-01-16 20:05
18,e1,208,2012-01-14 21:14
13,e4,206,2011-06-13 12:09
7,e2,116,2011-01-04 21:31
40,e3,84,2012-01-17 21:14
25,e2,149,2012-04-26 19:41
20,e4,214,2012-02-19 14:00
17,e2,134,2012-01-09 08:59
40,e2,154,2012-08-27 15:18
3,e2,101,2010-10-17 00:46
11,e3,79,2011-03-10 03:08
8,e2,123,2011-01-29 12:42
7,e1,179,2011-01-18 21:51
40,e1,243,2012-09-03 16:03
11,e4,203,2011-03-15 03:08
1,e3,60,2010-03-24 10:41
30,e2,153,2012-09-07 13:36
8,e4,196,2011-02-05 16:08
5,e4,188,2011-01-23 20:59
8,e2,120,2011-02-06 20:05
18,e1,212,2012-02-05 21:15
8,e2,121,2011-02-10 16:59
11,e4,202,2011-03-26 01:40
1,e2,95,2010-04-03 10:41
8,e1,193,2011-02-16 16:10
11,e1,203,2011-03-30 06:39
